participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c143051,3,3,dren,wrop,zhux,xwsx,4,High_Ortho_IA,5418,Low_Ortho,0,1,3,0.1765,718,0.1387,2,2,0.1176,270,1,1,18,TRUE,18,1
c143051,3,3,dren,wrop,zhux,xwsx,4,Low_Ortho_IA,5418,Low_Ortho,0,1,7,0.4118,3150,0.6083,5,1,0.0588,322,1,1,18,TRUE,18,1
c143051,3,3,dren,wrop,zhux,xwsx,4,Illegal_IA,5418,Low_Ortho,0,1,3,0.1765,704,0.136,3,1,0.0588,178,1,1,18,TRUE,18,1
c143051,3,3,dren,wrop,zhux,xwsx,4,Unpron_IA,5418,Low_Ortho,0,1,1,0.0588,342,0.066,1,1,0.0588,342,1,1,18,TRUE,18,1
c143051,4,4,blar,skub,sfuj,gpvj,1,High_Ortho_IA,7607,Low_Ortho,0,1,4,0.2667,2492,0.338,4,1,0.0667,332,1,1,18,TRUE,18,1
c143051,4,4,blar,skub,sfuj,gpvj,1,Low_Ortho_IA,7607,Low_Ortho,0,1,7,0.4667,3906,0.5298,5,1,0.0667,294,1,1,18,TRUE,18,1
c143051,4,4,blar,skub,sfuj,gpvj,1,Illegal_IA,7607,Low_Ortho,0,1,1,0.0667,444,0.0602,1,1,0.0667,444,1,1,18,TRUE,18,1
c143051,4,4,blar,skub,sfuj,gpvj,1,Unpron_IA,7607,Low_Ortho,0,1,1,0.0667,232,0.0315,1,1,0.0667,232,1,1,18,TRUE,18,1
c143051,5,5,slan,tway,bfiw,hvfn,3,High_Ortho_IA,4445,High_Ortho,1,1,1,0.1667,2594,0.5736,1,1,0.1667,2594,1,1,18,TRUE,18,1
c143051,5,5,slan,tway,bfiw,hvfn,3,Low_Ortho_IA,4445,High_Ortho,1,1,2,0.3333,900,0.199,2,1,0.1667,278,1,1,18,TRUE,18,1
